# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	8218
#@/user_id	740140e4-90a9-4364-babb-eaadd52cc38c
a 	啊	c=22 d=1.00954 t=7888
zhi fu 	支付	c=1 d=0.1 t=8057
zhi fu bao 	支付寶	c=3 d=2.92639 t=3182
zhi fu mo kuai 	支付模塊	c=1 d=1 t=8058
zhi hou 	之後	c=2 d=1 t=6970
zhi hui 	指揮	c=2 d=1.03526 t=6418
zhi jian 	之間	c=1 d=1 t=8214
zhi jie 	直接	c=13 d=1.0077 t=6701
zhi liang 	質量	c=1 d=1 t=5941
zhi liu 	直流	c=1 d=1 t=5980
zhi neng 	只能	c=4 d=1.00921 t=7274
zhi qian 	之前	c=7 d=1.84369 t=8159
zhi qian tong shi 	之前同事	c=1 d=1 t=3820
zhi shao 	至少	c=3 d=1.00153 t=6257
zhi sheng ji 	直升機	c=1 d=1 t=7368
zhi shi 	只是	c=5 d=1.00411 t=7847
zhi shi 	知識	c=2 d=1.00001 t=3626
zhi shou 	之首	c=1 d=1 t=7407
zhi ti gong 	只提供	c=1 d=1 t=3726
zhi tong 	直通	c=1 d=1 t=5007
zhi xie 	止血	c=1 d=1 t=3624
zhi xing 	執行	c=5 d=1 t=5368
zhi xing 	直行	c=1 d=0.679842 t=6971
zhi yi 	質疑	c=1 d=1 t=8145
zhi yin 	只因	c=1 d=1 t=4596
zhi you 	只有	c=3 d=1 t=7505
zhi zhang 	智障	c=1 d=0.100006 t=2851
zhi zhang yi yang 	智障一樣	c=1 d=1 t=2852
zhi zhi chi 	只支持	c=1 d=1 t=461
zhi zu chang le 	知足常樂	c=1 d=1 t=1622
zhi zuo 	製作	c=1 d=1 t=127
zhong 	中	c=19 d=1.44534 t=8218
zhong 	重	c=7 d=1.02472 t=6697
zhong guo 	中國	c=7 d=1.22468 t=6636
zhong guo dian xin 	中國電信	c=1 d=1 t=4209
zhong guo ren 	中國人	c=1 d=1 t=998
zhong guo yin hang 	中國銀行	c=1 d=1 t=7200
zhong hua 	中華	c=2 d=1.09537 t=2468
zhong jian 	中間	c=1 d=1 t=6868
zhong le 	中了	c=1 d=1 t=6721
zhong le 	腫了	c=1 d=1 t=6841
zhong lian 	中聯	c=1 d=1 t=3324
zhong shan 	中山	c=1 d=1 t=3993
zhong wen 	中文	c=3 d=1.11903 t=3593
zhong xin 	重心	c=1 d=1 t=4913
zhong ying 	中英	c=2 d=1.9802 t=651
zhong zhan 	重戰	c=1 d=1 t=7705
zhou 	周	c=1 d=1 t=632
zhou mo 	週末	c=0 d=0.1 t=796
zhou mo le 	週末了	c=1 d=1 t=797
zhou san 	週三	c=3 d=1.96079 t=7180
zhu 	住	c=0 d=0.1 t=4348
zhu 	煮	c=1 d=1 t=4765
zhu ba jie 	豬八戒	c=1 d=1 t=8217
zhu ban 	主板	c=2 d=1.41895 t=5975
zhu bo 	主播	c=1 d=1.00017 t=5994
zhu bu xia 	住不下	c=1 d=1 t=4349
zhu ce 	註冊	c=3 d=1 t=7319
zhu ce biao 	註冊表	c=1 d=1 t=3874
zhu dong 	主動	c=1 d=1 t=5687
zhu ji 	主機	c=0 d=0.1 t=3001
zhu ji shang 	主機上	c=1 d=1 t=3002
zhu liu 	主流	c=1 d=1 t=5981
zhu shi 	註釋	c=1 d=1 t=142
zhu su 	住宿	c=2 d=1.09209 t=6586
zhu ti 	主題	c=1 d=1 t=7040
zhu tou 	豬頭	c=1 d=1 t=5745
zhu xi 	主席	c=2 d=1.00237 t=4003
zhu xue jin 	助學金	c=1 d=1 t=1512
zhu yao 	主要	c=1 d=1 t=1749
zhu yao shi 	主要是	c=1 d=1 t=4166
zhu yi 	主義	c=10 d=8.86309 t=6314
zhu yi zhe 	主義者	c=2 d=1.67032 t=6308
zhua 	抓	c=1 d=1.07153 t=4841
zhua bu si 	抓不死	c=1 d=1 t=4775
zhua dao 	抓到	c=1 d=1 t=5566
zhua gui 	抓鬼	c=1 d=1 t=7901
zhua qi lai 	抓起來	c=1 d=1 t=1473
zhua ren 	抓人	c=0 d=0.1 t=7730
zhua ta 	抓他	c=1 d=1 t=6000
zhuan 	賺	c=1 d=1 t=5695
zhuan 	轉	c=4 d=1 t=4162
zhuan fa 	轉發	c=5 d=3.86146 t=7660
zhuan huan 	轉換	c=2 d=1.09608 t=3567
zhuan kuai 	磚塊	c=1 d=1 t=3010
zhuan xie 	轉鞋	c=3 d=2.92712 t=6374
zhuan ye 	專業	c=1 d=1 t=6072
zhuan zhang 	轉賬	c=1 d=1 t=2744
zhuang 	壯	c=3 d=1.06772 t=5601
zhuang 	幢	c=1 d=1 t=83
zhuang 	裝	c=4 d=1.00059 t=5474
zhuang bi 	裝逼	c=0 d=0.1 t=6593
zhuang le 	撞了	c=1 d=1 t=3822
zhuang tai 	狀態	c=4 d=1.42963 t=5526
zhui jia 	追加	c=1 d=1 t=5450
zhui qiu 	追求	c=0 d=0.1 t=1327
zhun 	準	c=1 d=1 t=7730
zhun me 	準麼	c=1 d=1 t=4577
zhuo mian 	桌面	c=1 d=0.479185 t=2925
zhuo mian duan 	桌面端	c=1 d=1 t=1552
zhuo mian re nao 	桌面熱鬧	c=1 d=1 t=2926
zhuo shang 	桌上	c=1 d=1 t=293
zi 	子	c=1 d=1 t=5714
zi 	字	c=3 d=1.09501 t=6667
zi ben 	資本	c=1 d=1 t=6239
zi ben zhu yi she hui 	資本主義社會	c=1 d=1 t=6221
zi ding yi 	自定義	c=2 d=1.06489 t=653
zi dong 	自動	c=2 d=1 t=7318
zi ge 	自個	c=1 d=1 t=437
zi ji 	自己	c=19 d=1.02966 t=7557
zi jia 	自家	c=1 d=1 t=1762
zi liao 	資料	c=0 d=0.1 t=151
zi min 	子民	c=2 d=1.0382 t=2567
zi ming ling 	子命令	c=1 d=1 t=431
zi run zhi 	字潤之	c=1 d=1 t=6668
zi se 	紫色	c=1 d=1 t=1922
zi sha 	自殺	c=1 d=1 t=2956
zi shi 	滋事	c=0 d=0.1 t=1474
zi ti 	字體	c=0 d=0.1 t=4953
zi xin 	自信	c=0 d=0.1 t=619
zi xin le 	自信了	c=1 d=1 t=620
zi xing che 	自行車	c=1 d=1 t=6881
zi yan 	自研	c=1 d=1 t=4586
zi you 	自由	c=2 d=1.0185 t=7387
zi you nv shen 	自由女神	c=1 d=1 t=4948
zi yuan 	資源	c=1 d=1 t=7584
zong 	總	c=1 d=1 t=7323
zong chu piao 	總出票	c=1 d=1 t=1080
zong hui 	總會	c=1 d=1 t=2194
zong jiao 	宗教	c=1 d=1 t=7948
zong jie 	總結	c=1 d=1 t=3102
zong jing li 	總經理	c=1 d=1 t=786
zong tong 	總統	c=1 d=1 t=2664
zou 	走	c=3 d=1.00104 t=6116
zou xia qu 	走下去	c=1 d=1 t=4759
zou xiang 	走向	c=1 d=1 t=3176
zou zi 	走資	c=1 d=1 t=6176
zu 	組	c=2 d=1.99005 t=5330
zu ce lve 	組策略	c=1 d=1 t=2893
zu ji 	祖籍	c=1 d=1 t=1984
zu jian 	組建	c=1 d=1 t=2854
zu zhang 	組長	c=2 d=1.83946 t=4410
zu zhi 	組織	c=1 d=0.952144 t=2898
zu zhi lai 	組織來	c=1 d=1 t=2899
zuan dong 	鑽洞	c=1 d=1 t=4762
zui 	最	c=0 d=0.106788 t=6905
zui da 	最大	c=3 d=1 t=7439
zui gao 	最高	c=5 d=1.02005 t=8204
zui gao ji 	最高級	c=1 d=1 t=7398
zui hao 	最好	c=3 d=1 t=6988
zui hou 	最後	c=2 d=1 t=3786
zui jin 	最近	c=3 d=1.12493 t=4324
zui leng 	最冷	c=0 d=0.1 t=1334
zui leng meng 	最冷夢	c=1 d=1 t=1335
zui pa 	最怕	c=1 d=1 t=7703
zui xin 	最新	c=1 d=1 t=3269
zui you bian 	最右邊	c=2 d=1.89583 t=6928
zui zao 	最早	c=2 d=1.9802 t=3913
zui zhen han 	最震撼	c=1 d=1 t=6368
zuo 	做	c=6 d=1.00002 t=8111
zuo 	左	c=4 d=1.00681 t=8110
zuo bian 	左邊	c=3 d=1.76339 t=6956
zuo chan pin 	做產品	c=1 d=1 t=3609
zuo cheng 	做成	c=2 d=1 t=5148
zuo dao 	做到	c=2 d=1 t=7551
zuo dao 	左道	c=4 d=2.72515 t=6974
zuo de 	做的	c=3 d=1.08848 t=8090
zuo fei ji 	坐飛機	c=1 d=1.1 t=7366
zuo hao 	做好	c=1 d=1 t=7073
zuo hao le 	做好了	c=1 d=1 t=4546
zuo le 	做了	c=1 d=1 t=5347
zuo shen me 	做什麼	c=2 d=1.00449 t=4181
zuo shou 	左手	c=1 d=1 t=4622
zuo tian 	昨天	c=3 d=1.00006 t=7005
zuo xi 	作息	c=1 d=1 t=5764
zuo yong 	作用	c=4 d=1.00018 t=7140
zuo you 	左右	c=1 d=1 t=3461
zuo zhi xing 	左直行	c=2 d=1.94649 t=6983
zuo zhuan 	左轉	c=4 d=2.78643 t=6978
